experiment_name	model	num_pops	fst	wdiff	wvar	correlation	generations	replicate_number	S_value_Driftsel	S_value_Driftsel_Neutral	p_value_QSTFST	p_value_QSTFST_Neutral	p_value_MONET	log_ratio_MONET	p_value_MONET_Neutral	log_ratio_MONET_Neutral
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	80	0.947928805901833	0.587029009966087	0.0	0.961	0.00125	1.77255446570826	0.41025	0.65191550133271
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	484	0.929580692000961	0.624433995734357	0.002	0.477	0.003	1.61971828956684	0.37925	0.635939559966799
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	54	0.925758718850104	0.412913181527826	0.002	0.492	0.002	1.78741657816009	0.969	-0.181647225544987
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	83	0.91592157110357	0.348657749819013	0.005	0.247	0.008	1.53277190466045	0.3285	-1.66651035446091
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	73	0.918379463725055	0.39943749530119	0.004	0.508	0.00175	1.88704885693159	0.75675	-0.467019782575212
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	93	0.935163899112293	0.309002377713366	0.003	0.257	0.003	1.7867317948357	0.32975	-0.966790507732533
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	63	0.940612534316827	0.319681238107585	0.003	0.461	0.003	1.53261498757496	0.56025	-0.46604860861285
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	78	0.935910433043236	0.277093660319352	0.003	0.096	0.00075	1.96494372983624	0.27475	-2.03384339534562
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	84	0.920197954807744	0.349622949851558	0.007	0.434	0.003	1.80325499107312	0.427	-0.662002834788179
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	74	0.903231084999976	0.706940403589192	0.005	0.115	0.0055	1.60137823384757	0.1705	0.868397482196269
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	66	0.906756811476187	0.302034786862732	0.003	0.125	0.00875	1.6076451035436	0.0685	-3.04761506089955
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	62	0.911306120011331	0.310754937587055	0.015	0.198	0.0015	2.22273830524903	0.2375	-1.99000425049607
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	79	0.902188322954866	0.745477909785044	0.009	0.293	0.0165	1.40305500684401	0.052	1.4846143016994
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	72	0.937446098056082	0.411588057645769	0.002	0.332	0.00275	1.82280173355755	0.9285	-0.173874356191107
quantinemo_hierarchical_18pop	hierarchical	18	NA	10	10	grouped	1350	7	0.938089021517529	0.570420689035963	0.001	0.479	0.00225	1.70611057315066	0.58325	0.438154933525399
